id	municipality	rgo_code	rgo_code_st	rgo_code_no	rgo_name	msa_code	msa_name			
0901173770	Stonington town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900174190	Stratford town	CT02	CT	02	Connecticut Metropolitan Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900374540	Suffield town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900575730	Thomaston town	CT04	CT	04	Naugatuck Valley Council of Governments	0	#N/A			
0901575870	Thompson town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0901376290	Tolland town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900576570	Torrington town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900177200	Trumbull town	CT02	CT	02	Connecticut Metropolitan Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0901377830	Union town	CT05	CT	05	Northeastern Connecticut Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901378250	Vernon town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901178600	Voluntown town	CT05	CT	05	Northeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900978740	Wallingford town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900579510	Warren town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900579720	Washington town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0900980070	Waterbury town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0901180280	Waterford town	CT08	CT	08	Southeastern Connecticut Council of Governments	CT08	"Norwich-New London, CT"			
0900580490	Watertown town	CT04	CT	04	Naugatuck Valley Council of Governments	0	#N/A			
0900382590	West Hartford town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900982870	West Haven town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900781680	Westbrook town	CT03	CT	03	Lower CT River Valley Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900183430	Weston town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900183500	Westport town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900384900	Wethersfield town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0901385950	Willington town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900186370	Wilton town	CT09	CT	09	Western Connecticut Council of Governments	CT02	"Bridgeport-Stamford-Norwalk, CT"			
0900586440	Winchester town	CT06	CT	06	Northwest Hills Council of Governments	0	#N/A			
0901586790	Windham town	CT08	CT	08	Southeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
0900387070	Windsor Locks town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900387000	Windsor town	CT01	CT	01	Capital Region Council of Governments	CT01	"Hartford-West Hartford-East Hartford, CT"			
0900987560	Wolcott town	CT04	CT	04	Naugatuck Valley Council of Governments	CT07	"New Haven-Milford, CT"			
0900987700	Woodbridge town	CT07	CT	07	South Central Region Council of Governments	CT07	"New Haven-Milford, CT"			
0900587910	Woodbury town	CT04	CT	04	Naugatuck Valley Council of Governments	0	#N/A			
0901588190	Woodstock town	CT05	CT	05	Northeastern Connecticut Council of Governments	MA05	"Worcester, MA-CT"			
2502300170	Abington town	MA10	MA	10	Old Colony Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2501700380	Acton town	MA09	MA	09	Metropolitan Area Planning Council	MA09	"Boston-Cambridge-Newton, MA-NH"			
2500500520	Acushnet town	MA11	MA	11	Southeastern Regional Planning and Economic Development District	RI75	"Providence-Warwick, RI-MA"			
2500300555	Adams town	MA02	MA	02	Berkshire Regional Planning Commission	MA02	"Pittsfield, MA"			
